Prodotto_Shopify,Categoria_Padre,Sottocategoria,SKU,EAN,Prezzo_2026,Opzione_1_Nome,Opzione_1_Valore,Opzione_2_Nome,Opzione_2_Valore,Titolo_Originale_Listino
Gre - ISOTERMICA LEGNO QUADRATA CITY ANTI Legno,Accessori,"Coperture, tappeti e liner",CV790000,8412081318554,86.52,,,,,"Copertura isotermica per piscina in legno quadrata City 790000 anti U.V.A, 400 micron. Polietilene. Dim: 195x195"
Gre - ISOTERMICA LEGNO OVALE ORANGE ANTI Legno,Accessori,"Coperture, tappeti e liner",CV800007,8412081313344,0.0,,,,,"Copertura isotermica per piscina in legno ovale Orange 800007, anti U.V.A, 400 micron. Polietilene. Dim: 700x403"
Gre - ISOTERMICA LEGNO OVALE VERMELA ANTI Legno,Accessori,"Coperture, tappeti e liner",786634,3605217866349,346.08,,,,,"Copertura isotermica per piscina in legno ovale Vermela 790098, anti U.V.A, 400 micron. Polietilene. Dim: 618x418"
Gre - ISOTERMICA LEGNO OVALE AVOCAD ANTI Legno,Accessori,"Coperture, tappeti e liner",CV790203,8412081308289,325.48,,,,,"Copertura isotermica per piscina in legno ovale Avocado 790203 anti U.V.A, 400 micron. Polietilene. Dim: 603x403"
Gre - ISOTERMICA LEGNO OVALE SAFRAN 790089 Legno,Accessori,"Coperture, tappeti e liner",CV7900892,8412081318523,246.17,,,,,"Copertura isotermica per piscina in legno ovale Safran 2 7900892, anti U.V.A, 400 micron. Polietilene. Dim: 568x343"
Gre - ISOTERMICA LEGNO OVALE SAFRAN ANTI Legno,Accessori,"Coperture, tappeti e liner",784800,3605217848000,244.11,,,,,"Copertura isotermica per piscina in legno ovale Safran 790089, anti U.V.A, 400 micron. Polietilene. Dim: 585x358"
Gre - ISOTERMICA LEGNO OVALE CANNELLE 790087 Legno,Accessori,"Coperture, tappeti e liner",CV7900872,8412081318530,167.89,,,,,"Copertura isotermica per piscina in legno ovale Cannelle 2 7900872, anti U.V.A, 400 micron. Polietilene. Dim: 482x281"
Gre - ISOTERMICA LEGNO OVALE CANNELLE ANTI Legno,Accessori,"Coperture, tappeti e liner",779532,3605217795328,167.89,,,,,"Copertura isotermica per piscina in legno ovale Cannelle 790087, anti U.V.A, 400 micron. Polietilene. Dim: 498x298"
Gre - ISOTERMICA LEGNO OVALE GRENADE 790086 Legno,Accessori,"Coperture, tappeti e liner",CV7900862,8412081318547,161.71,,,,,"Copertura isotermica per piscina in legno ovale Grenade 2 7900862 anti U.V.A, 400 micron. Polietilene. Dim: 382x281"
Gre - ISOTERMICA LEGNO OVALE GRENADE ANTI Legno,Accessori,"Coperture, tappeti e liner",779530,3605217795304,161.71,,,,,"Copertura isotermica per piscina in legno ovale Grenade 790086, anti U.V.A, 400 micron. Polietilene. Dim: 398x298"
Gre - ISOTERMICA LEGNO OVALE CAMOMILLE ANTI Legno,Accessori,"Coperture, tappeti e liner",790073,3605217900939,0.0,,,,,"Copertura isotermica per piscina in legno ovale Camomille 790073 anti U.V.A, 400 micron. Polietilene. Dim: 568x343"
Gre - ISOTERMICA LEGNO OVALE MACADAMIA CVKPBOC Legno,Accessori,"Coperture, tappeti e liner",CVKPBOC632,8412081273488,195.597,,,,,"Copertura isotermica per piscina in legno ovale Macadamia CVKPBOC632, anti U.V.A, 400 micron. Polietilene. Dim: 580x282"
Gre - ISOTERMICA LEGNO OVALE BAMBU KPBOC Legno,Accessori,"Coperture, tappeti e liner",CVKPBOC535,8412081273471,156.56,,,,,"Copertura isotermica per piscina in legno ovale Bambu KPBOC535, anti U.V.A, 400 micron. Polietilene. Dim: 482x282"
Gre - ISOTERMICA LEGNO TONDA VIOLETTE 800003 Legno,Accessori,"Coperture, tappeti e liner",CV800003,8412081313306,235.87,,,,,"Copertura isotermica per piscina in legno tonda Violette 2 800003 anti U.V.A, 400 micron. Polietilene. Dim: Ø 436"
Gre - ISOTERMICA LEGNO TONDA VAST/ANANAS 790210 Legno,Accessori,"Coperture, tappeti e liner",CV790210,8412081308272,164.697,,,,,"Copertura isotermica per piscina in legno tonda Vasto 790302/Ananas 790210 anti U.V.A, 400 micron. Polietilene. Dim: Ø 371"
Gre - ISOTERMICA LEGNO TONDA VANILLE 80000 Legno,Accessori,"Coperture, tappeti e liner",CV800002,8412081313276,146.26,,,,,"Copertura isotermica per piscina in legno tonda Vanille 2 800002 anti U.V.A, 400 micron. Polietilene. Dim: Ø 337"
Gre - ISOTERMICA LEGNO TONDA LILI 800008 Legno,Accessori,"Coperture, tappeti e liner",CV800008,8412081313245,104.03,,,,,"Copertura isotermica per piscina in legno tonda Lili 2 800008, anti U.V.A, 400 micron. Polietilene. Dim: Ø 237"
Gre - INVERNALE LEGNO RETTANGOLARE MINT /M². Legno,Accessori,"Coperture, tappeti e liner",778041,3605217780416,818.85,,,,,"Copertura invernale per piscina in legno rettangolare Mint 788032, 580 g/m². PVC armato. Dim: 1058x467"
Gre - INVERNALE LEGNO RETTANGOLARE BRAGA /M². Legno,Accessori,"Coperture, tappeti e liner",CI790207,8412081308425,604.61,,,,,"Copertura invernale per piscina in legno rettangolare Braga 790207, 580 g/m². PVC armato. Dim: 855x460"
Gre - INVERNALE LEGNO RETTANGOLARE EVORA /EVORA Legno,Accessori,"Coperture, tappeti e liner",CI790206,8412081308432,565.47,,,,,"Copertura invernale per piscina in legno rettangolare Evora 790206/EVORA PLUS 800009, 580 g/m². PVC armato. Dim: 658x460"
Gre - INVERNALE LEGNO RETTANGOLARE MARBELLA /M². Legno,Accessori,"Coperture, tappeti e liner",788452,3605217884527,174.07,,,,,"Copertura invernale per piscina in legno rettangolare Marbella 790096, 580 g/m². PVC armato. Dim: 467x317"
Gre - INVERNALE LEGNO RETTANGOLARE PAPAYA WPPAPA Legno,Accessori,"Coperture, tappeti e liner",CIWPPAPA,8412081993065,452.17,,,,,"Copertura invernale per piscina in legno rettangolare Papaya WPPAPA, 580 g/m². PVC armato. Dim: 558x360"
Gre - INVERNALE LEGNO RETTANGOLARE MANGO KPBRC Legno,Accessori,"Coperture, tappeti e liner",CIKPBRC620,8412081273549,555.17,,,,,"Copertura invernale per piscina in legno rettangolare Mango KPBRC620, 580 g/m². PVC armato. Dim: 658x360"
Gre - INVERNALE LEGNO RETTANGOLARE LEMON /M². Legno,Accessori,"Coperture, tappeti e liner",CI790204,8412081308388,0.0,,,,,"Copertura invernale per piscina in legno rettangolare Lemon 790204, 580 g/m². PVC armato. Dim: 414x239"
Gre - INVERNALE LEGNO QUADRATA CARRA /M². Legno,Accessori,"Coperture, tappeti e liner",CI790205,8412081308395,235.87,,,,,"Copertura invernale per piscina in legno quadrata Carra 790205, 580 g/m². PVC armato. Dim: 335x335"
Gre - INVERNALE LEGNO QUADRATA CITY /M². Legno,Accessori,"Coperture, tappeti e liner",790001,3605217900012,107.12,,,,,"Copertura invernale per piscina in legno quadrata City 790000, 580 g/m². PVC armato. Dim: 250x250"
Gre - INVERNALE LEGNO OVALE SEVILLA /M². Legno,Accessori,"Coperture, tappeti e liner",CI790208,8412081308418,853.87,,,,,"Copertura invernale per piscina in legno ovale Sevilla 790208, 580 g/m². PVC armato. Dim: 893x496"
